-37.531	197
-37	170
-37	139.589
-37	109
-34	80.5359
-22	58
-21	21
-65	200
-64	171
-64	140
-63	109
-66	83
-105.559	13
-114	81
-117.406	65
-149	69.4829
-145	90.4873
-142	43
-171	41
-98.507	81
-105	28
-69	28
-51	27.5782
-52	65
-63	58
-24	-93
-24	-93
-25	-120
-60.6651	-307.071
-50	-171.57
-51	-147
-48	-91
-44	-68
-94	-111
-1	-128.507
-2	-170.411
-2	-196
-3	-218
4	-91
